Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,1708,703,3,51361.789062,0.000058
2,1000,0.6,0.2,50.0,1000,1686,695,1,50616.308594,0.000020
3,1000,0.6,0.2,50.0,1000,1707,660,1,51237.613281,0.000020
4,1000,0.6,0.2,50.0,1000,1647,684,2,49442.929688,0.000040
5,1000,0.6,0.2,50.0,1000,1683,679,3,50565.390625,0.000059
6,1000,0.6,0.2,50.0,1000,1669,683,1,50146.625000,0.000020
7,1000,0.6,0.2,50.0,1000,1653,659,0,49662.164062,0.000000
8,1000,0.6,0.2,50.0,1000,1642,677,2,49366.031250,0.000041
9,1000,0.6,0.2,50.0,1000,1687,675,1,50649.308594,0.000020
10,1000,0.6,0.2,50.0,1000,1673,669,2,50246.464844,0.000040
