Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,15797,7853,239,49661.597656,0.004813
2,1000,0.5,0.2,50.0,1000,16357,8214,257,50496.597656,0.005089
3,1000,0.5,0.2,50.0,1000,16112,7948,236,49299.617188,0.004787
4,1000,0.5,0.2,50.0,1000,15679,7779,248,49572.312500,0.005003
5,1000,0.5,0.2,50.0,1000,15895,7976,216,49809.695312,0.004337
6,1000,0.5,0.2,50.0,1000,16057,7994,236,50140.832031,0.004707
7,1000,0.5,0.2,50.0,1000,16437,8121,209,50204.605469,0.004163
8,1000,0.5,0.2,50.0,1000,16078,8013,261,50214.179688,0.005198
9,1000,0.5,0.2,50.0,1000,16208,7983,200,49759.664062,0.004019
10,1000,0.5,0.2,50.0,1000,15354,7698,249,49794.488281,0.005001
