Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2039,1641,999,50050.445312,0.019960
2,1000,0.2,0.2,50.0,1000,2087,1655,999,49939.574219,0.020004
3,1000,0.2,0.2,50.0,1000,2196,1729,999,50319.160156,0.019853
4,1000,0.2,0.2,50.0,1000,2108,1652,999,48893.183594,0.020432
5,1000,0.2,0.2,50.0,1000,2061,1645,999,49540.546875,0.020165
6,1000,0.2,0.2,50.0,1000,2036,1628,999,50462.308594,0.019797
7,1000,0.2,0.2,50.0,1000,2143,1676,999,49942.996094,0.020003
8,1000,0.2,0.2,50.0,1000,1992,1600,999,49386.644531,0.020228
9,1000,0.2,0.2,50.0,1000,2145,1701,999,49310.351562,0.020259
10,1000,0.2,0.2,50.0,1000,2045,1653,999,49113.695312,0.020341
