Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,14009,2804,278,49948.843750,0.005566
2,1000,0.8,0.2,50.0,1000,13912,2767,233,49551.734375,0.004702
3,1000,0.8,0.2,50.0,1000,14333,2862,321,51128.222656,0.006278
4,1000,0.8,0.2,50.0,1000,13885,2862,302,49862.152344,0.006057
5,1000,0.8,0.2,50.0,1000,14184,2787,290,50325.890625,0.005762
6,1000,0.8,0.2,50.0,1000,14239,2883,283,51048.984375,0.005544
7,1000,0.8,0.2,50.0,1000,13939,2769,268,49053.125000,0.005463
8,1000,0.8,0.2,50.0,1000,14043,2936,294,49877.371094,0.005894
9,1000,0.8,0.2,50.0,1000,13739,2727,278,48842.937500,0.005692
10,1000,0.8,0.2,50.0,1000,13990,2846,291,49702.070312,0.005855
