Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,31427,6323,995,49785.886719,0.019986
2,1000,0.8,0.2,50.0,1000,149882,8472,469,49913.359375,0.009396
3,1000,0.8,0.2,50.0,1000,159054,8944,327,50495.281250,0.006476
4,1000,0.8,0.2,50.0,1000,64306,7402,860,52522.523438,0.016374
5,1000,0.8,0.2,50.0,1000,32939,6518,998,52283.039062,0.019088
6,1000,0.8,0.2,50.0,1000,34256,6865,987,50043.214844,0.019723
7,1000,0.8,0.2,50.0,1000,73702,7467,756,50052.046875,0.015104
8,1000,0.8,0.2,50.0,1000,42863,6996,935,49134.101562,0.019030
9,1000,0.8,0.2,50.0,1000,161895,8583,331,50053.781250,0.006613
10,1000,0.8,0.2,50.0,1000,89751,7982,718,51060.531250,0.014062
